ETUNIMI;YHTEENSÄ
Tilma;99
Zainab;99
Tuisku;99
Jetta;98
Ulla-Marja;98
Rhea;98
Riikka-Maria;98
Daisy;98
Maud;97
Britt-Mari;97
Anne-Riitta;97
Marion;97
Arja-Riitta;97
Milaja;97
Sylva;97
Sirje;96
Hilve;96
Tuike;96
Serena;96
Ludmila;95
Iman;95
Nanne;95
Sallamaari;95
Nadejda;95
Safia;95
Adina;95
Anna-Marja;94
Halla;94
Eija-Leena;94
Sira;94
Anisa;94
Henny;94
Gun-Lis;93
Tutta;93
Annariina;93
Urpu;93
Janiina;93
Adriana;92
Rinna;92
Sabine;92
Nelma;91
Ulrica;91
Rilla;91
Emma-Sofia;91
Hanna-Riitta;91
Tyyni;91
Tyra;90
Samantha;90
Josephine;90
Sera;90
Estrid;90
Eimi;90
Jolanda;89
Milda;89
Wilhelmina;89
Elsie;89
Irja-Liisa;89
Saskia;89
Inga-Britt;89
Paju;89
Friida;89
Anni-Mari;88
Ellie;88
Alena;88
Ulla-Maj;88
Alexia;88
Gisela;88
Nanny;88
Hannakaisa;87
Mariela;87
Marjaliisa;87
Minnamari;87
Helly;87
Minna-Leena;86
Tatja;86
Arina;86
Emmi-Lotta;86
Sahra;86
Nikita;86
Sara-Maria;86
Anja-Liisa;86
Terja;86
Peppi-Lotta;86
Juliet;85
Gunda;85
Siviä;85
Myy;85
Kate;85
Sinja;85
Kirsi-Maarit;85
Tuula-Marja;85
Anni-Sofia;85
Minna-Maarit;85
Minna-Riitta;84
Ljubov;84
Valborg;84
Amal;84
Kaisa-Mari;84
Tita;84
Ruska;84
Tiina-Riitta;84
Sonya;84
Ea;84
Kiara;83
Mirette;83
Hennariikka;83
Ariana;83
Emma-Lotta;83
Kirsimarja;83
Juni;83
Gunn-Britt;83
Nova;83
Leah;83
Leyla;83
Evelin;82
Sanna-Maarit;82
Liisa-Maria;82
Aniitta;82
Alise;82
Anna-Stiina;82
Enne;82
Lulu;82
Jannina;82
Jennina;81
Maarika;81
Rauna;81
Elmiina;81
Liubov;81
Anna-Katariina;80
Sella;80
Merja-Leena;80
Jekaterina;80
Anna-Karin;79
Marja-Kaarina;79
Katerina;79
Mariann;79
Merike;79
Berta;79
Ainu;79
Sini-Maria;79
Zara;79
Jenna-Maria;79
Serafiina;79
Nessa;79
Ewa;79
Tiuku;78
Maura;78
Sharon;78
Celine;78
Anne-Kristiina;78
Salla-Maaria;78
Satu-Marja;77
Rania;77
Vellamo;77
Meira;77
Vella;77
Marja-Kaisa;77
Ireene;77
Manda;76
Anitra;76
Neelia;76
Inez;76
Minna-Kaisa;76
Kaija-Riitta;76
Inge-Maj;76
Zeinab;76
Hanna-Reetta;76
Pirkko-Leena;76
Lauriina;75
Mirikli;75
Petriina;75
Gitte;75
Rosaliina;75
Marija;75
Dagmar;75
Raina;74
Alessia;74
Ensi;74
Gina;74
Nada;74
Valpuri;74
Vivia;73
Alexa;73
Jill;73
Tiina-Kaisa;73
Sunna;73
Ann-Katrin;73
Seelia;73
Teresia;72
Ayan;72
Adela;72
Sini-Tuulia;72
Milli;72
Hafsa;72
Mei;72
Gitta;72
Isabell;72
Jenni-Mari;71
Anna-Karoliina;71
Tora;70
Sirkka-Leena;70
Meja;70
Mari-Anna;70
Janetta;70
Anne-Marita;70
Anna-Lotta;70
Pirta;70
Opri;70
Sanna-Riikka;70
Anna-Maaria;70
Niina-Maria;70
Mirkku;69
Salla-Maarit;69
Sole;69
Lotta-Maria;69
Suvituuli;69
Celia;69
Terttu-Liisa;69
Annabel;68
Anu-Riikka;68
Jonna-Maria;68
Ronya;68
Hodan;68
Etta;68
Sumaya;68
Liisa-Maija;68
Nanette;68
Thanh;67
Eelin;67
Fiina;67
Lise;67
Ulriikka;67
Kirsi-Mari;67
Nea-Maria;67
Katherine;67
Anni-Kaisa;67
Bernice;66
Eea;66
Chloe;66
Asma;66
Asha;66
Clary;66
Meija;66
Enya;66
Fatma;66
Cajsa;66
Leia;65
Juliette;65
Greetta;65
Venni;65
Iina-Maria;65
Hagar;65
Manna;65
Eriika;65
Marje;65
Thuy;65
Riina-Maria;64
Mariina;64
Beeda;64
Rigmor;64
Eeva-Mari;64
Mona-Lisa;64
Hele;64
Paola;64
Unni;63
Anna-Greta;63
Evy;63
Nadine;63
Tii;63
Anna-Riina;63
Reine;63
Hildur;63
Khadija;63
Mitra;63
Agda;63
Hani;63
Leena-Marja;63
Ros-Mari;63
Kristin;62
Minda;62
Zaida;62
Elli-Maija;62
Liselott;62
Seija-Riitta;62
Alyssa;62
Katinka;62
Merika;62
Noora-Maria;62
Aicha;62
Liida;62
Viva;61
Wera;61
Marjo-Riikka;61
Li;61
Line;61
Zoe;61
Halima;61
Marjo-Liisa;61
Miida;61
Hinni;61
Nelle;61
Pepita;61
Tianna;61
Oivi;61
Maryan;61
Minttu-Maaria;60
Nemi;60
Anki;60
Emmi-Sofia;60
Kaari;60
Minttu-Maria;60
Amélie;60
Hamdi;60
Suvi-Maaria;59
Tarja-Riitta;59
Tiila;59
Grace;59
Edna;59
Nimo;59
Kiana;59
Mella;59
Kristine;59
Yasemin;59
Mary-Ann;59
Huda;59
Neve;59
Renata;59
Milla-Mari;59
Ullamaija;58
Annmari;58
Mianna;58
Eevastiina;58
Miia-Mari;58
Görel;58
Sorja;58
Suzan;58
Gia;58
Sanne;58
Aino-Elina;57
Eela;57
Anni-Elina;57
Lisette;57
Suvi-Päivi;57
Veera-Maria;57
Tuuli-Maria;57
Jenna-Mari;57
Eevaliisa;57
Kastehelmi;57
Jamina;57
Venja;57
Corinne;57
Aino-Sofia;57
Irma-Liisa;57
Hanna-Maarit;57
Riitu;57
Lova;57
Kikka;56
Inka-Maria;56
Sol-Britt;56
Satu-Maaria;56
Silla;56
Ella-Mari;56
Lucy;56
Helkky;56
Bettiina;56
Eva-Lisa;55
Elly;55
Lana;55
Riikka-Leena;55
Taiga;55
Miili;55
Kirsti-Liisa;55
Sini-Maaria;55
Eriikka;55
Kitta;55
Lene;55
Siiri-Sofia;55
Pia-Liisa;55
Suzanne;55
Kaiju;55
Erja-Liisa;55
Anu-Maarit;55
Chiara;54
Minna-Maija;54
Kaisu-Leena;54
Maijastiina;54
Abigail;54
Ingalill;54
Jamila;54
Kersti;54
Jenika;54
Tarja-Tuulikki;54
Gea;54
Misa;54
Katri-Maria;54
Leena-Maria;54
Anne-May;54
Elif;54
Tiiti;54
Katja-Maria;54
Keiju;54
Satu-Sinikka;54
Laura-Kaisa;54
Pauline;54
Hanna-Maaria;54
Vanja;54
Toive;54
Pirja;54
Anna-Helena;53
Viliina;53
Donna;53
Merit;53
Najma;53
